INDEX,L1_UTM_X,L1_UTM_Y,L1_KAPPA,R1_UTM_X,R1_UTM_Y,R1_KAPPA
158,250338.49736065246,3688308.2220301772,0.28015930102104514,250339.56816117422,3688307.00821768,0.06637015645136989
159,250338.7710033799,3688308.514444394,0.058245541588841064,250339.8319758862,3688307.3103078394,0.359606254001787
160,250339.04214682576,3688308.809545417,0.5391668958140573,250340.07528771687,3688307.6289272746,0.3422037428624366
161,250339.3008789104,3688309.115683221,0.11084875177693707,250340.32960186215,3688307.938829952,0.2119092569242368
162,250339.5627951041,3688309.4192796038,0.5126581938702384,250340.5670371014,3688308.2620350514,0.0570984098477505
163,250339.83740488676,3688309.711146234,0.19261625215451517,250340.81792353452,3688308.5747731086,0.17232370888378543
164,250340.11252330107,3688310.0027589416,0.2118684803562361,250341.06791186632,3688308.888230437,0.18948975442710633
165,250340.40233554042,3688310.279781542,0.07432004276438726,250341.33384893314,3688309.1883301893,0.031210439072787956
166,250340.68815603526,3688310.5609228504,0.12550531493076672,250341.6039143386,3688309.4847605107,0.10014689770436286
167,250340.97182657733,3688310.844170024,0.04749773630682638,250341.86570697493,3688309.7885383894,0.11654478213190073
168,250341.25946419325,3688311.1234766156,0.0083829308697623,250342.13398898134,3688310.0865928098,0.03939187436927475
169,250341.54899928183,3688311.400812687,0.3157187961366022,250342.40205747075,3688310.3848345075,0.018393063821540507
170,250341.81630948654,3688311.6992944865,0.022168888386788026,250342.66462151887,3688310.687845468,0.2862260980687815
171,250342.06805724106,3688312.011342361,0.17568803357232302,250342.90057190985,3688311.0120705967,0.0899927157491736
172,250342.3262863692,3688312.318034852,0.1150108424138711,250343.13023090086,3688311.3407919486,0.059403078175358386
173,250342.59238161682,3688312.617912926,0.12595361363934693,250343.36841379353,3688311.663401331,0.05358180365568368
174,250342.87246976767,3688312.9047301817,0.17448464863745125,250343.61852402624,3688311.9767806707,0.09545184944165244
175,250343.14428243676,3688313.199387852,0.3770530472007914,250343.8772915821,3688312.28312772,0.18746977321714892
176,250343.41295122996,3688313.496556823,0.25597631054205433,250344.12716432757,3688312.5967643415,0.2053410930552713
177,250343.6817090813,3688313.7929261373,0.7067241520056673,250344.3612586092,3688312.92234066,0.714395979625336
178,250343.95282339008,3688314.088163282,0.11902456094876127,250344.61737272955,3688313.2304133475,0.01289608838936188
179,250344.22744337944,3688314.380272423,0.3190207731044494,250344.86690392785,3688313.544348599,0.08430826690575723
180,250344.4968191464,3688314.677193969,0.34040218387277743,250345.1170422236,3688313.857742313,0.12240867697343276
181,250344.76491270223,3688314.97520169,0.3706793210004329,250345.3617452607,3688314.17539094,0.2776436167108205
182,250345.03231869437,3688315.2738670763,0.273274022879444,250345.60809676818,3688314.491693395,0.16168776491809778
183,250345.28937103503,3688315.581496889,0.24616426702006872,250345.85361065192,3688314.8087247354,0.274676071021402
184,250345.5501066374,3688315.886071832,0.43343447464624696,250346.08612131438,3688315.1354035973,0.06984851502232423
185,250345.81652702478,3688316.1854879935,0.29736846371831194,250346.3296560886,3688315.453922203,0.343199235165219
186,250346.09391568913,3688316.4747517724,0.09084672324232454,250346.5715730972,3688315.773547804,0.2581129600788198
187,250346.37250252304,3688316.763052474,0.3707950890206433,250346.8332336733,3688316.077465145,0.08633885534484854
188,250346.6554531648,3688317.047025795,0.06356128216199956,250347.0933140834,3688316.3826745586,0.14878747018511485
189,250346.94052113747,3688317.328880834,0.04146023488570956,250347.35313767748,3688316.6881166804,0.1389210411539488
190,250347.2260519545,3688317.6103163552,0.22279932099597513,250347.62120368532,3688316.9863729076,0.1139699093937371
191,250347.51145421472,3688317.8918424174,0.09061376824258754,250347.88662971396,3688317.286968346,0.19737528824926942
192,250347.79608141037,3688318.174066606,0.058059559664404514,250348.14685509418,3688317.592073235,0.20341871445554094
193,250348.08605198754,3688318.450946308,0.05248656139612663,250348.41780256885,3688317.8877008585,0.018950467078944676
194,250348.368670774,3688318.735305642,0.06220298457416388,250348.68472221133,3688318.1869582552,0.04128887280097468
195,250348.64499631,3688319.0258086785,0.03756308568301476,250348.94276617706,3688318.4939097245,0.033763547155852905
196,250348.9197564989,3688319.317794543,0.1774367572665334,250349.19880154,3688318.8025539936,0.03332834453640459
197,250349.18173519964,3688319.6212405176,0.032704076833642653,250349.44895425282,3688319.115957678,0.11131145716969239
198,250349.44425284825,3688319.924188724,0.026859187463651044,250349.68648234403,3688319.4390654047,0.25084616122093356
199,250349.71198031373,3688320.2226538393,0.2714787917254174,250349.9370420025,3688319.7520991596,0.004503270434825075
200,250349.98000084297,3688320.5207653116,0.09015874212007269,250350.18261145797,3688320.0689518745,0.23690704713831645
201,250350.24682895737,3688320.8200071235,0.019095749984778913,250350.4243965137,3688320.3888343023,0.02785562493454914
202,250350.51403473364,3688321.118914731,0.09392944145075993,250350.66732065898,3688320.707899728,0.023042854372041194
203,250350.7811914998,3688321.417869517,0.012646115004284607,250350.91042904096,3688321.0268263984,0.01559809773641324
204,250351.04951944752,3688321.7157736807,0.022230073359955273,250351.15496151024,3688321.34466175,0.038289320623934586
205,250351.31773867886,3688322.013775706,0.025770163462118696,250351.39970410342,3688321.6623345744,0.007322546662278502
206,250351.58624932703,3688322.311515359,0.04785610072021242,250351.6448913245,3688321.979664604,0.017611900888817558
207,250351.85485483365,3688322.609169306,0.008859498932008401,250351.89183623067,3688322.2956289314,0.02262903775098741
208,250352.1232929362,3688322.906973967,0.020701453920992624,250352.13909274174,3688322.611349988,0.02886769430752551
209,250352.39232772661,3688323.204241052,0.0013093934371191563,250352.3879651874,3688322.9257994196,0.001593775473871649
210,250352.66123567367,3688323.501622706,0.0029051011786438694,250352.638061892,3688323.2392727733,0.016816595101677642
211,250352.93002917396,3688323.799107887,0.0013093961200728419,250352.88928632988,3688323.551845164,0.046341124563556955
212,250353.19828567203,3688324.0970749077,0.028841692543493516,250353.14203209136,3688323.8631887203,0.04728144559284767
213,250353.46677472288,3688324.394832932,0.052741008216442294,250353.39626224508,3688324.1733215232,0.02952709976652097
214,250353.73514617566,3688324.692695392,0.05124931740522219,250353.65200927402,3688324.48220539,0.006331089119400747
215,250354.00346580223,3688324.9906079583,0.002823841969066063,250353.90902974055,3688324.790028308,0.051835656714104644
216,250354.2717135409,3688325.2885852787,0.002429864874143807,250354.16715885288,3688325.0969213718,0.02110722612744004
217,250354.53998413577,3688325.586542023,0.002896165764307716,250354.4271371436,3688325.402251262,0.024941090695067412
218,250354.8081401391,3688325.8846018845,0.052700500559451295,250354.68856380205,3688325.7063434776,0.009006471766807566
219,250355.0768585337,3688326.182153844,0.009944303615445068,250354.95081195474,3688326.0097269993,0.037734532343805575
220,250355.34570681135,3688326.479586755,0.0006735284630876599,250355.2149164684,3688326.311495911,0.004958055471372986
221,250355.61457276178,3688326.7770041674,0.0268526633583076,250355.4799961159,3688326.6124075297,0.02049605745564799
222,250355.88418812864,3688327.0737443124,0.04851075696116867,250355.74635438982,3688326.912188928,0.0241613171721876
223,250356.1542463827,3688327.370077412,0.03703113132048569,250356.01423810734,3688327.2106059976,0.039145846837778935
224,250356.4243531418,3688327.6663709395,0.0221482611269619,250356.28300631404,3688327.508227365,0.0002471677292734436
225,250356.69546487584,3688327.9617443094,0.03889193038043352,250356.55289828643,3688327.804831349,0.0015377942616696548
226,250356.9669400442,3688328.2567836447,0.0411366532956974,250356.82382138065,3688328.100492321,0.00520864485280677
227,250357.2400825791,3688328.550279612,0.013895190861190955,250357.09603344125,3688328.394968643,0.0036749918631901407
228,250357.51397276967,3688328.8430775045,0.0023932763926447407,250357.36902527174,3688328.6887212857,0.022555511548743398
229,250357.78877908306,3688329.135017013,0.0036388095726675044,250357.64360817688,3688328.9809885086,0.007286917136946136
230,250358.0647273399,3688329.4258760135,0.0009242645370576675,250357.91875198507,3688329.2727275374,0.03961913877546287
231,250358.3419217922,3688329.7155493363,0.014317674165658897,250358.19563010917,3688329.5628207917,0.008598450182198134
232,250358.62072569845,3688330.0036723968,0.005358653657819021,250358.4734344256,3688329.852026422,0.02236170921473461
233,250358.90045082622,3688330.29090267,0.05806683398518034,250358.7529497461,3688330.1395798093,0.003347650006507672
234,250359.18249331956,3688330.5758487703,0.04566313548572479,250359.0336544685,3688330.425970205,0.05221977588866398
235,250359.46566359967,3688330.859354612,0.4190679911673889,250359.31522640132,3688330.7115484676,0.1074278351946445
236,250359.74914518776,3688331.142015962,0.3563016712405987,250359.60768113198,3688330.9851260222,0.8091631199574142
237,250360.02568489444,3688331.431557587,0.4672847632546774,250359.88377227323,3688331.2761647375,0.11162964109924739
238,250360.28482142978,3688331.7372607617,0.0815033111102858,250360.1428065134,3688331.581260462,0.5431826055675131
239,250360.55443317816,3688332.0334231397,0.20449137744082568,250360.41598431053,3688331.8749782927,0.11319756746677281
240,250360.81437002617,3688332.3385005826,0.5083260627193458,250360.6737249196,3688332.1814645166,0.37005723223698933
241,250361.06241850278,3688332.653123813,0.08649922519895607,250360.92859039354,3688332.490789909,0.24196108768239763
242,250361.30667321346,3688332.970755876,0.19967128969898815,250361.18334847144,3688332.7999708275,0.3616896486211053
243,250361.5436460313,3688333.2940232377,0.2702914213143165,250361.42282971027,3688333.1217227983,0.27310499588996257
244,250361.79346190876,3688333.607351986,0.25347651880708133,250361.65814126495,3688333.446149779,0.2863375918012847
245,250362.02297808853,3688333.9358243304,0.7415803719519702,250361.90898368307,3688333.758969597,0.5050313668393219
246,250362.25551823902,3688334.261615609,0.10223980339088097,250362.13967556928,3688334.0865676096,0.5927257194158975
247,250362.4669175816,3688334.6023484194,0.45596015125718903,250362.3568659714,3688334.423347928,0.05532130679081998
248,250362.63280049493,3688334.9670061516,0.6096934430625685,250362.55329732952,3688334.7725452757,0.3644050393340923
249,250362.75383899687,3688335.3492666576,1.019706347508573,250362.68892489135,3688335.149498327,0.36780305582533507
250,250362.82253473822,3688335.7440823466,0.13419175355344753,250362.78994368363,3688335.536755765,0.0028523308546188056
251,250362.8297676912,3688336.1434771335,0.812107979539895,250362.84332032377,3688335.93425888,1.3304411544285466
252,250362.7867333387,3688336.5415130393,0.949556140152015,250362.81988392817,3688336.334480184,1.2585382723910783
253,250362.73987044007,3688336.939479441,0.6181232039007556,250362.77077692706,3688336.73219221,0.4732900621832548
254,250362.67240717128,3688337.334243683,0.6884518393529913,250362.69811410748,3688337.126211216,0.9887343013210537
255,250362.56231826817,3688337.7190974443,0.326223086126382,250362.63035479386,3688337.520994892,0.7261890875452555
256,250362.44026547167,3688338.1006246773,1.1030782789631886,250362.50725424415,3688337.9026976237,0.030518433031302993
